title,description
American Crime,Anthology series with stories revolving around preconceptions on aspects of the social experience.
St. Vincent,"Maggie (Melissa McCarthy), a struggling single woman, moves to Brooklyn with her 12-year-old son, Oliver (Jaeden Lieberher). Having to work very long hours, she has no choice but to leave Oliver in the care of Vincent (Bill Murray), a bawdy misanthrope next door. Vincent takes Oliver along on his trips to the race track, strip club and dive bar, and an unlikely friendship is born. The man is a mentor to the boy in his hedonistic way, and Oliver sees the good in Vincent that no one else can."
22-Jul,"Norway's deadliest terrorist attack, in which a right-wing extremist murders 77 teens at a youth camp in 2011, is dramatized."
Wizards,"The trolls, aliens and wizards living in Arcadia face off in a battle for control of their magical world."
Inspector Lewis,Inspector Lewis and his sidekick fight crime.
Andromeda,"Set in deep space, the series revolves around the adventures of Dylan Hunt, captain of the Andromeda Ascendant, his crew members, and their efforts to restore the Systems Commonwealth, a government that was responsible for a time of extended peace and prosperity. The sci-fi series is based on previously unused materials written by late writer Gene Roddenberry."
Oh My Ghost,"When a skilled but timid chef is possessed by a sassy spirit, her newfound confidence catches the eye of her longtime crush, a culinary hotshot."
D.P.,A young private's assignment to capture army deserters reveals the painful reality endured by enlistees during their compulsory calls of duty.
Cowboy Bebop: The Movie,"Cocky Spike Spiegel and the crew of his spaceship, Bebop, an intrepid band of bounty hunters, land on Mars in the year 2071 chasing an enormous cash reward. The four-person team, also including looming cyborg Jet Black, fearless Faye Valentine and tech expert Edward, are in search of ex-military officer Vincent. The former hero has become a biological terrorist with an arsenal of devastating nano-bots that he'll let loose on Alba City on the night before Halloween if his demands aren't met."
Flashforward,"Residents of Los Angeles go about their day unaware that a mysterious event is about to change their lives. FBI agents Mark Benford and Demetri Noh are in a car chase; Benford's physician wife is in the middle of surgery; and Benford's friend Aaron Stark works on power lines high above the ground. Suddenly, something causes everyone in the world to black out for just over two minutes. During that time, each person sees a series of events in his or her own future -- some good, some bad, some apparently nonexistent. As people begin to piece together their visions on a worldwide website, Mark and Demetri use the information to try to pinpoint the cause of the blackout, and people are still trying to determine whether destiny can be changed, and what effect those changes may have on others."
Control,"In 1970s England, troubled musician Ian Curtis (Sam Riley) rises to fame as lead singer of the band Joy Division. A husband and father, Curtis begins to feel the strain of his band's growing fortune, his crumbling marriage to wife Deborah (Samantha Morton) and his worsening epilepsy."
Cherry,A young woman (Shalom Harlow) left at the altar swears off men until she decides she wants to have a baby.
Apollo 11,"The personal and professional lives of Neil Armstrong, Buzz Aldrin and Michael Collins prior to their July 1969 moon mission."
The Man Who Invented Christmas,"In 1843 London, author Charles Dickens finds himself in financial trouble after writing three unsuccessful novels in a row. Desperate for a hit, Dickens relies on real-life inspiration and his vivid imagination to bring Ebenezer Scrooge, Tiny Tim and other classic characters to life in ""A Christmas Carol,"" forever changing the holiday season into the celebration known today."
Secret,A depiction of grief through the eyes of a recently widowed woman who is left unable to afford her house and her horse after the sudden passing of her husband.
The Man Standing Next,South Korean politicians struggle for power in 1979.
Igby Goes Down,"Igby Slocumb (Kieran Culkin), a rebellious and sarcastic 17-year-old boy, is at war with the stifling world of old money privilege he was born into. With a schizophrenic father (Bill Pullman), a self-absorbed, distant mother (Susan Sarandon), and a shark-like young Republican big brother (Ryan Phillippe), Igby figures there must be a better life out there -- and sets about finding it."
Fast Five,"Ever since ex-cop Brian O'Conner (Paul Walker) and Mia Torretto (Jordana Brewster) broke her brother Dom (Vin Diesel) out of custody, they've traveled border to border to evade authorities. In Rio de Janeiro, they must do one final job before they can gain their freedom for good. Assembling their elite team of car racers, Brian and Dom know they must confront the corrupt businessman who wants them dead, before the federal agent (Dwayne Johnson) on their trail finds them."
I Heart Huckabees,"Environmentalist Albert (Jason Schwartzman) enlists the services of ""existential detectives"" Bernard (Dustin Hoffman) and Vivian (Lily Tomlin) to solve the meaning of a succession of strange coincidences. The investigators conclude that the backstabbing Brad (Jude Law) -- a public relations manager at big-box retailer Huckabees -- is at the root of Albert's angst. Brad tries to turn the tables, however, by hiring the philosophic duo for his own nefarious purposes."
Fanboys,"To honor the wishes of their dying friend, some diehard ""Star Wars"" fans set out on a cross-country road trip to George Lucas' famous Skywalker Ranch. There, they intend to treat their pal to a screening of the movie series' latest installment before its official release."
Escaflowne: The Movie,"""Escaflowne"" blends romance and fantasy to tell the story of Hitomi Kanzaki, an ordinary high school student whose life has lost all meaning. Feeling at her most desperate, she wishes that she could just disappear into thin air -- a wish that is immediately granted when a mysterious man suddenly materializes and catapults her away from Earth. Hitomi is instantly thrust into Gaia, a strange new world ruled by sword and sorcery. In this world she realizes she can make a difference."
Unbreakable Kimmy Schmidt,"Rescued after 15 years in a cult, Kimmy Schmidt decides to reclaim her life by venturing to New York, where she experiences everyday life with wide-eyed enthusiasm. On a whim, she rents a room from Titus, a gay wannabe Broadway actor, who makes ends meet as a street performer in Times Square. The unlikely pair find they're well-suited to help each other out, with Titus reintroducing Kimmy to modern life, and her providing him with the inspiration that you should never give up. Together they'll make it through whatever life throws at them."
Bless This Mess,"Newlyweds Rio and Mike make the decision to change the course of their life together and move from the relentless pace of big city New York to what they think will be a more relaxed existence in rural Nebraska. After dropping everything --including their jobs and an overbearing mother-in-law -- to make the move from skyscrapers to farmhouses, they soon realize that the simpler life isn't as easy as they had planned. Rio and Mike must now learn how to weather the storm as they are faced with unexpected challenges in their new lives as farmers."
Rambo,"A car dealer (Sharan) uses a trained pig to run into cars, then finds a body inside one such vehicle."
The Missing Picture,Filmmaker Rithy Panh re-creates atrocities of Cambodia's Khmer Rouge between 1975 and 1979.
Men in Trees,"Relationship expert and author Marin Frist knows what women should look for and what to avoid when trying to find the perfect man. But like most experts, she fails to follow her own advice. On the way to a speaking engagement in Alaska, Marin finds out that her fiance has been cheating on her. If that wasn't bad enough, she winds up stranded in a small town filled with what she doesn't need -- single men. With the support of her friends and publisher back home, Marin realizes she's been living with a blindfold on, never taking the moment to stop and breathe."
Bob Biswas,"After eight years in a coma, an insurance agent returns home to his wife and son, but he has no memories of his past."
My Life Without Me,"When hard-working mother of two Ann (Sarah Polley) discovers she has terminal ovarian cancer and the doctors give her two months to live, she decides to keep the news from her family. Passing off her increasing weakness as a mild case of anemia, Ann begins to put her priorities in order in preparation for the last few months of her life. She records birthday messages for her daughters, visits her estranged father in prison and even seeks a replacement wife for her husband, Lee (Mark Ruffalo)."
The Oak,"After her ex--Secret Police father dies, Nela (Maia Morgenstern) prepares to transfer to a teaching position outside of Bucharest, where she hopes to learn about her father's dark past. Traveling to a new city, her already difficult journey is halted when the train is stopped by a washed-out bridge, and when she continues on, she is gang-raped and then dismissed by police when she reports the crime. Eventually, Nela meets Mitica (Razvan Vasilescu), a doctor who accompanies her on her quest."
Tracks,"After committing a senseless act, a New Jersey teenager (Chris Gunn) faces incarceration at a maximum-security prison."
Mortal Kombat Legends: Scorpion's Revenge,The champions of Outworld and Earthrealm fight to the death in a brutal tournament that determines the fate of Earth.
Dexter: New Blood,"Set 10 years after Dexter went missing in the eye of Hurricane Laura, the series finds him living under an assumed name in the small town of Iron Lake, New York.  Dexter may be embracing his new life, but in the wake of unexpected events in this close-knit community, his Dark Passenger beckons."
Lords of Chaos,"In 1987 Oslo, 17-year-old Euronymous becomes fixated on creating ""true Norwegian black metal"" with his band Mayhem. He mounts shocking publicity stunts to put the band's name on the map, but the lines between show and reality begin to blur."
Sleepy Hollow,"When Ichabod Crane wakes up 250 years in the future, he must solve a mystery dating back to the founding fathers. Due to a blood spell cast on a battlefield during the Revolution, the infamous headless horseman is revived, along with Crane. When the murderous rider embarks on a bloody rampage in present-day Sleepy Hollow, Ichabod realizes that he must act quickly, because the headless horseman is only the first of the four horsemen of the apocalypse."
X-Men: Evolution,"A group of people discover that they have extraordinary powers and must decide whether to use them for good or for evil. The ranks of both the good and bad forces swell as more people discover their super powers, and the battle between good and evil rages."
Star Trek: Strange New Worlds,"Captain Pike, Science Officer Spock and Number One explore new worlds around the galaxy on the U.S.S. Enterprise."
Hamlet,"A ghostly visitation prompts Denmark's Prince Hamlet (David Tennant) to feign madness and avenge his father, who died at the hands of Hamlet's uncle (Patrick Stewart)."
Saathiya,"Two students (Rani Mukerji, Vivek Oberoi) meet at a wedding and fall in love, but they marry in secret due to their class differences."
The Science of Sleep,"Soon after the death of his father, a distraught young man (Gael García Bernal) begins a job as a graphic designer, but has little chance to create. His intense dreams begin to overtake his waking life and he becomes increasingly caught up in flights of fancy. His hyperactive imagination then begins to interfere with his courtship of a pretty neighbor (Charlotte Gainsbourg)."
The Silent Sea,"During a perilous 24-hour mission on the moon, space explorers try to retrieve samples from an abandoned research facility steeped in classified secrets."
The Farewell,A gravely ill soccer star (Carlos Renê Issa Castello) wants to continue playing despite his condition.
This Country,"Mockumentary following the lives of cousins Kerry and Lee ""Kurtan"" Mucklowe in their small town in rural Britain."
"You, Me and the Apocalypse","When it is announced that a comet is on a collision course with Earth, unexpected and hilarious events take place during the last days of humanity. Amid all the chaos, a diverse group of seemingly unconnected characters start to intersect in unanticipated ways. These characters include a rebellious and foul-mouthed priest (Rob Lowe), a librarian (Jenna Fischer) who is sent to maximum security prison for a crime she didn't commit, and a bank manager (Mathew Baynton) who goes on a quest to find his wife, who mysteriously disappeared seven years ago."
CSI: Crime Scene Investigation,"A dedicated group of forensic investigators at the Las Vegas Crime Lab works to solve often-grisly crimes in Sin City. Heading up the graveyard shift (an appropriate term in this case) is supervisor D.B. Russell, a ""Left Coast"" Sherlock Holmes who devours crime novels. Members of Russell's team include Julie Finlay, Nick Stokes, Sara Sidle (the team's moral compass), Greg Sanders and Morgan Brody. The investigative team works closely with Capt. Jim Brass -- a seasoned detective who is a protector of CSI -- Dr. Al Robbins -- medical examiner -- and quirky lab technician David Hodges. Previous leaders of the group include Gil Grissom and Dr. Ray Langston."
Amores Perros,"""Amores Perros"" is a bold, intensely emotional, and ambitious story of lives that collide in a Mexico City car crash. Inventively structured as a triptych of overlapping and intersecting narratives, ""Amores Perros"" explores the lives of disparate characters who are catapulted into unforeseen dramatic situations instigated by the seemingly inconsequential destiny of a dog named Cofi."
C U Soon,"Jimmy meets Anu on an online dating website and decides to marry her. Jimmy's mother entrusts his cousin Kevin to get details about Anu, only to discover dark, shocking truths about her."
Lab Rats,"Based around the Arnolfini Research Laboratory, manned by scientific `idiots'."
"Batman: The Long Halloween, Part Two","Inspired by the iconic mid-1990s DC story from Jeph Loeb and Tim Sale, Batman: The Long Halloween, Part Two continues as the Holiday Killer is still at large and, with Bruce Wayne under the spell of the venomous Poison Ivy, Batman is nowhere to be found. Liberated by an unlikely ally, Bruce quickly uncovers the real culprit: Poison Ivy's employer Carmine Falcone. The Roman, his ranks decimated by Holiday and his business spinning out of control, has been forced to bring on less desirable partners -- Gotham City's rogues' gallery. In the meantime, Harvey Dent is confronting battles on two fronts: attempting to end the mob war while also dealing with a strained marriage. And, after an attack that leaves Harvey hideously disfigured, the District Attorney unleashes the duality of his psyche that he's strived his entire life to suppress. Now, as Two-Face, Dent decides to take the law into his own hands and deliver judgment to those who've wronged him, his family and all of Gotham. Ultimately, the Dark Knight must put together the tragic pieces that converged to create Two-Face, the Holiday Killer, Batman and Gotham City itself."
Anything for Her,"Julien Auclert (Vincent Lindon) and his wife, Lisa (Diane Kruger), live a peaceful life in the French suburbs with their son, Oscar (Lancelot Roch). Their world is shattered when, one night, the police storm their house and arrest Lisa on suspicion of murder. Several years later, Julien learns that Lisa, who is diabetic and now serving a 20-year prison sentence, is refusing her insulin. Knowing that Lisa is on the verge of giving up, he hatches a risky plan to break her out of jail."
The Venture Bros.,"""Jonny Quest"" gets an irreverent but affectionate spoofing in this animated series chronicling the sometimes hair-raising adventures of Hank and Dean Venture, the not-especially-bright twin sons of pill-popping ""super-scientist"" Dr. Thaddeus ""Rusty"" Venture. Luckily (for the most part), their safety is overseen by a security guard who uses his license to kill every chance he gets."
Bhediya,"Set in the forests of Arunachal, Bhediya is the story of Bhaskar, a man who gets bitten by a wolf and begins to transform into the creature. As Bhaskar and his buddies try to find answers, a bunch of twists, turns and laughs ensue."
Prodigal Son,"Malcolm Bright is a gifted criminal psychologist, using his twisted genius to help the NYPD solve crimes and stop killers, all while dealing with a manipulative mother, a serial killer father still looking to bond with his prodigal son and his own constantly evolving neuroses. Bright's only ally is his sister, Ainsley, a TV journalist who wishes her brother would take a break from murder and have a normal life. Unfortunately for his sister, the only way Bright feels normal is by solving cases with the help of his longtime mentor, NYPD Detective Gil Arroyo. Arroyo's one of the best detectives around, and he expects no less from his team, which includes Detective JT Tarmel, a born-and-bred New Yorker who questions whether Bright is a psychopath himself."
5150 Elm's Way,A psychotic killer challenges his victim to a chess match.
Marco Polo,"As a youth of 15 or 16, Marco Polo first met his father and uncle and embarked on an epic adventure, crossing thousands of miles of unforgiving terrain, through political unrest and upheaval, to the court of Kublai Khan in what is now Beijing. A Netflix original, rife with warfare and political/sexual intrigue, spotlights the years at the Chinese court and the journeys. A global roster of stars includes Italian newcomer Lorenzo Richelmy as Marco. Filming sites are Italy, Kazakhstan and Malaysia; producers couldn't get permission in China."
The Chef,"A veteran chef faces off with his restaurant's new CEO, who wants the restaurant to lose a star so that he can bring in a new chef."
School Spirits,"When most people hear the phrase ""school spirit,"" they think of cheering on a school's sports teams. When people on the reality series ""School Spirits"" hear the phrase, they think of ghosts and other types of paranormal activity. The series travels to schools across the country to reveal first-hand accounts of paranormal activity as experienced by students, teachers, parents and staff members on the campuses. Bone-chilling re-enactments of the narratives help to bring the hauntings to life for viewers. Prolific reality-TV producer Mark Burnett (""Survivor"") serves as an executive producer on the hourlong series."
Chase,Veteran television producers Jerry Bruckheimer and Jennifer Johnson are the forces behind this fast-paced series about a game of cat and mouse between the U.S. Marshals Service and the country's most-dangerous fugitives. Annie Frost (Kelli Giddish) is a Texas native who leads a team of marshals that tracks down violent criminals on the run. Cole Hauser and Amaury Nolasco also star.
Riding Alone for Thousands of Miles,"Upon learning his estranged son (Kiichi Nakai) has cancer, a Japanese fisherman (Ken Takakura) travels to Tokyo to see him. Though his son rejects him, the fisherman decides to finish the dying man's project: capturing a famous Chinese opera star's performance on film. However, the singer cannot perform, for he is too grief-stricken at his separation from his illegitimate son. The fisherman decides to reunite the singer and the child and sets out to find him."
Brotherhood,"The Caffee brothers live in an Irish-American neighborhood in Providence, R.I., known as ""the Hill."" Tommy Caffee is a family man whose ambition and street smarts help him navigate the world of Providence politics, protecting the Hill at all costs. Unfortunately, his gangster brother Mike returns to town, hoping to take over the city's underworld activities. Complicating matters further are Tommy and Mike's proud mother Rose, Tommy's wife Eileen, gang boss Freddie Cork and local detective Declan Giggs."
Sofia the First,"Disney has featured many princesses in its TV shows and movies through the years -- but never a little girl princess. Until now. This animated series features Sofia, an ordinary girl who becomes a princess overnight when her mom marries the king. The adventurous young girl, first introduced in the 2012 TV movie ""Sofia the First: Once Upon a Princess,"" must learn how to adjust to royal life. Offering Sofia words of wisdom are classic princesses -- including Ariel, Belle and Jasmine -- who make special appearances as they help advise the youngster during her transition to royalty. Throughout her journey, Sofia learns that it isn't having a title that imparts royal demeanor; it's that having the characteristics of honesty, loyalty, compassion and grace make one worthy of the role."
Live and Become,"A Christian boy grows up among Jews in Israel and, as an adult, must confront his past."
The Office,"This U.S. adaptation -- set at a paper company based in Scranton, Pa. -- has a similar documentary style to that of the Ricky Gervais-led British original. It features the Dunder-Mifflin staff, which includes characters based on roles in the British show -- and, quite possibly, people with whom you work in your office. There's Jim, the likable employee who's a bit of an every man. Jim has a thing for receptionist-turned-sales-rep Pam -- because office romances are always a good idea! There's also Dwight, the co-worker who is successful but devoid of social skills and common sense."
Mrs. America,"""Mrs. America"" tells the story of the movement to ratify the Equal Rights Amendment (ERA), and the unexpected backlash led by a conservative woman named Phyllis Schlafly, aka ""the sweetheart of the silent majority."" Through the eyes of the women of the era -- both Schlafly and second-wave feminists Gloria Steinem, Betty Friedan, Shirley Chisholm, Bella Abzug and Jill Ruckelshaus -- the series explores how one of the toughest battlegrounds in the culture wars of the '70s helped give rise to the Moral Majority and forever shifted the political landscape."
Jiro Dreams of Sushi,"Revered sushi chef Jiro Ono strives for perfection in his work, while his eldest son, Yoshikazu, has trouble living up to his father's legacy."
Omkara,"In this adaptation of Shakespeare's ""Othello"" set in India, half-caste bandit Omkara Shukla (Ajay Devgan) abducts his lady love, Dolly Mishra (Vivek Oberoi), from her family. Thanks to his cleverness, he gets away with the kidnapping. A conspiracy, however, forms against him when he denies his right-hand man, Langda Tyagi (Kareena Kapoor), a promotion. Ultimately, this plot threatens not only his relationship with Dolly, but their lives and those of their associates as well."
Rectify,"Sundance Channel's first wholly owned scripted series stars Aden Young as Daniel Holden, who spends nearly 20 years on death row for the rape and murder of a teenage girl, before new DNA evidence nullifies his conviction. He returns home, but he's far from welcomed. He's an outsider now in a town that remains divided by his alleged crime, and contributing to his uncertain future is the man who prosecuted him -- riding that notoriety to become a state senator -- is plotting to reopen the case. As he struggles to adapt, Daniel is comforted by support from his younger sister, Amantha, who has always believed in his innocence and has worked her entire adult life to secure his release. Not so for Ted Jr., Daniel's stepbrother with whom he has no relationship. Insecure and manipulative, Ted is skeptical of Daniel's motives and will do anything to protect his family."
The OA,"In addition to her role as creator and executive producer of this mind-bending series, Brit Marling also plays the role of Prairie Johnson, a young woman who returns home after a 7-year disappearance. Her sudden return is not the only miraculous occurrence: everyone is shocked to learn that Prairie is no longer blind. While the FBI and her parents are anxious to discuss Prairie's disappearance, she won't talk about what happened during the time that she was missing. Zal Batmanglij, the co-creator and an executive producer of the series, is the director of every episode."
Berlin Station,"Transitioning from his job as a CIA analyst in the U.S., cerebral officer Daniel Miller's new mission puts him under cover at the agency's Berlin branch, tasked with sorting out messy cases involving damaging leaks, whistle-blowers, terrorism and more. Mentored by jaded veteran officer Hector DeJean, Daniel learns the disorderly world of field work means dealing with deception, danger and moral compromises. As he dives deeper into the German capital's hall of mirrors and discovers conspiracies that lead back to Washington, D.C., he wonders if anyone can ever be the same after a posting to Berlin."
Sons of Anarchy,"Single father Jax Teller finds his loyalty to his outlaw motorcycle club tested by his growing unease concerning the group's lawlessness. While the club protects and patrols the town of Charming, Calif., keeping drug dealers away, its activities also include a thriving -- and lucrative -- illegal arms business."
Pad Man,Lakshmi is a newly married welder who causes a stir in his East Indian village when he tries to revolutionize the manufacturing of sanitary napkins for women.
Whiskey Cavalier,"Following an emotional breakup, tough but tender FBI super-agent Will Chase (codename: Whiskey Cavalier) is assigned to work with CIA operative Francesca""Frankie"" Trowbridge (codename: Fiery Tribune). Together, they lead an interagency team of flawed, funny and heroic spies -- including Will's best friend, behavioral scientist Susan Sampson and jittery genius Edgar Standish -- who periodically save the world -- and each other -- while navigating the rocky roads of friendship, romance and office politics."
The 12th Man,"After a failed anti-Nazi sabotage mission leaves his 11 comrades dead, Norwegian resistance fighter Jan Baalsrud finds himself fleeing from the Gestapo through the snowbound reaches of Scandinavia."
Made in Heaven,"Tara and Karan are Delhi-based wedding planners who know that India is a society in transition, with tradition clashing with modern individual aspirations. With each ceremony, they enter into the lives of a different bride and groom. The weddings Tara and Karan service introduce them to the complexities of Indian life while providing mirrors to their true selves -- Tara, a woman from the wrong side of the tracks who clawed her way up into high society through marriage and Karan, a gay man living in a country where homosexuality is illegal."
Everybody's Fine,"Sicilian opera lover Matteo Scuro (Marcello Mastroianni) is a retired bureaucrat who wants to have a family reunion. When most of his adult children (Valeria Cavalli, Marino Cenna, Norma Martelli, Roberto Nobile) cancel their trip to Sicily, Matteo decides to take the train to them. On each visit to a different part of Italy, he learns about the lies that his family has been telling him, including a significant one about his missing son, Alvaro (Salvatore Cascio)."
American Woman,"In a small blue-collar town in Pennsylvania, a 32-year-old woman's teenage daughter goes missing, and she is left to raise her infant grandson alone."
3 Idiots,"In college, Farhan and Raju form a great bond with Rancho due to his positive and refreshing outlook to life. Years later, a bet gives them a chance to look for their long-lost friend whose existence seems rather elusive."
Great Freedom,"In Germany after WWII, the liberation by the Allies did not mean freedom for everyone. Hans (Franz Rogowski) has been found guilty of something the government deems a crime: he is gay. Under the 19th-century German penal code known as Paragraph 175, homosexuality is grounds for imprisonment, and Hans--over the course of multiple decades--is spied on and repeatedly jailed solely for his sexuality. As he returns to prison, again and again, Hans develops an ever-closer relationship with his cellmate Viktor (Georg Friedrich), a convicted murderer serving a life sentence. As their charged rapport blossoms over time into something far more tender, GREAT FREEDOM explores love, lost time, and the tenacity of the human spirit."
Vadh,A police inspector (Nakul) suspects his brother (Nana Patekar) of murders blamed on an escaped killer.
Shiny_Flakes: The Teenage Drug Lord,"This is the true story that inspired the hit German Original Series How To Sell Drugs Online (Fast). In February 2015, Maximilian Schmidt, known online as Shiny Flakes, was arrested for selling approx. 4.1 million euros worth of drugs -- from his childhood bedroom. Using his own website shinyflakes.com and the German postal service, at 19-years old he ran an international drugs empire by himself -- selling one ton of drugs over 14 months. It's one of the largest cybercrime-cases known in Germany, and the police still don't know where most of the money is. In this documentary, Maximilian tells his story."
Italian Race,"Giulia, a 17-year-old aspiring racer, reaches out to her drug-addicted brother for help running their late father's debt-ridden auto racing business."
Last Orders,"Fred Schepisi's thoughtful ensemble drama looks back on the life of Jack (Michael Caine), an amiable London butcher who leaves behind his devoted wife, Amy (Helen Mirren), and a group of loyal pub-dwelling buddies when he dies. Charged with bringing his ashes to the sea, Ray (Bob Hoskins), Lenny (David Hemmings) and Vic (Tom Courtenay) make their way to the ocean with Jack's foster son, Vince (Ray Winstone), fondly remembering their old friend along the way."
Tread,"Pushed to his breaking point, a master welder quietly fortifies a bulldozer and systematically destroys numerous businesses and homes in the small mountain town of Granby, Colo."
Shattered,"After kidnapping the daughter of a couple, a man (Pierce Brosnan) forces the two (Gerard Butler, Maria Bello) to comply with a series of daunting tasks."
The Twilight Zone,"""The Twilight Zone"" was the brainchild of Emmy Award-winner Rod Serling, who served as host and wrote over 80 episodes of the original show's 150-plus episode run. It's a strange mix of horror, science-fiction, drama, comedy and superstition. Serling introduced each episode, and many of the black and white hours concluded with a surprise ending. Actors such as Burt Reynolds, Roddy McDowell and Robert Redford made appearances in some of the more well-known stories."
In This World,"In this dramatic re-creation, Jamal (Jamal Udin Torabi) and Enayat (Enayatullah) escape from the wretched Shamshatoo Refugee Camp in northwest Pakistan and embark on a perilous journey to England, where Jamal's uncle lives. Though they are initially caught by Iranian authorities and sent back, they ultimately make it through Iran to Istanbul, Turkey, smuggled there by paid human traffickers. To get to Italy, they must risk being shipped, and spend over a day in an unventilated container."
Waiting for Superman,"This film by director Davis Guggenheim investigates the public school system in the United States, and uncovers the many ways in which education in America has declined. Rather than relying largely on statistics and expert opinions, Guggenheim focuses on five students -- Anthony, Bianca, Daisy, Emily and Francisco -- portraying their own individual struggles and triumphs within problem-plagued academic settings where there are no easy solutions to the myriad issues that affect them."
Thani Oruvan,A police officer tries to bring down a corrupt person.
Oasis: Supersonic,"A revealing look at the meteoric rise of seminal '90s rock band Oasis, weaving never-before-seen concert footage with candid interviews and a firsthand account of the backstage sibling rivalry that threatened to destroy the band."
Land,American agriculture during the Great Depression.
The Middleman,"Struggling female artist Wendy Watson, recruited by a secret agency, struggles to wrap her head around her bizarre new job -- fighting dangers humanity isn't prepared to face -- under the guidance of a handsome and relentlessly wholesome hero who calls himself ""The Middleman"" in this tongue-in-cheek adventure series. The Middleman is a freelance fixer of ""exotic problems,"" which include mad scientists wanting to take over the world and hostile aliens. Based on the graphic novel series of the same name by Javier Grillo-Marxuach."
Absolutely Fabulous,"A show brilliant in its uncensored bad behavior and satirical humor, this series features Edina and Patsy, two hard-drinking, drug-taking, completely and outrageously selfish middle-aged women. Their cruel humor focuses on the hypocrisy of today's society, much to the chagrin of Edina's more moral and conservative daughter, Saffron."
The Boxtrolls,"Eggs (Isaac Hempstead-Wright), an orphan, lives with the Boxtrolls -- a community of quirky, mischievous creatures who inhabit a cavern beneath the city of Cheesebridge. When villainous Archibald Snatcher (Ben Kingsley) hatches a plan to get rid of the pretty harmless beings, Eggs decides to go above ground, where he meets and befriends feisty Winnifred (Elle Fanning). Together, Eggs and Winnifred devise a daring plan to save the Boxtrolls from extermination."
Shinjuku Incident,A Chinese worker in Japan becomes the leader of an illegal immigrant gang.
Berlin Calling,"DJ Ickarus is at the top of his game, composing music and touring with his manager and girlfriend, when he suffers a mental breakdown and fights for his life after being admitted to a psychiatric facility."
Shiddat,"Love-struck Jaggi can cross the seven seas for his dream girl, Kartika, even if it means stopping her wedding."
The Call of Cthulhu,"A man (Matt Foyer) tells his psychiatrist of the struggles that led to his downfall, beginning at his great-uncle's bedside, where he receives a key to a locked collection of his papers. The papers reveal a lifelong obsession with an underwater deity, Cthulhu, around which a cult has formed. Using the style of a 1920s silent film, director Andrew Leman retells H.P. Lovecraft's short story, in which the documents reveal individuals who had contact with Cthulhu."
Sonu Ke Titu Ki Sweety,A man's best friend tries to sabotage his impending marriage.
Tokyo Vice,"Jake Adelstein, an American journalist, plugs into the Tokyo Vice police squad and descends into the neon underbelly of Tokyo."
Just Like Heaven,"David (Mark Ruffalo) is a recently widowed architect moving into a new apartment in San Francisco. But the apartment isn't entirely empty; it's haunted by the ghost of a woman named Elizabeth (Reese Witherspoon). And although Elizabeth can't remember much about her life, she's convinced that she isn't really dead. While David recruits Darryl (Jon Heder), an absent-minded psychic, to get to the bottom of Elizabeth's identity, he and Elizabeth begin to fall in love."
Wild,"After an encounter with a wolf, a young woman (Lilith Stangenberg) casts off societal conventions to live a life free of hypocrisy."
Our Flag Means Death,"Stede Bonnet, a pampered aristocrat, abandons his life of privilege to become a pirate in the early 18th century."
Happy Death Day,"Tree Gelbman is a blissfully self-centered collegian who wakes up on her birthday in the bed of a student named Carter. As the morning goes on, Tree gets the eerie feeling that she's experienced the events of this day before. When a masked killer suddenly takes her life in a brutal attack, she once again magically wakes up in Carter's dorm room unharmed. Now, the frightened young woman must relive the same day over and over until she figures out who murdered her."
Making a Murderer,"Exonerated after spending nearly two decades in prison for a crime he did not commit, Steven Avery filed suit against Manitowoc County, Wis., and several individuals involved with his arrest. Shortly after, however, Avery found himself behind bars again, this time accused of the murder of 25-year-old photographer Teresa Halbach. She was last seen on Avery's property, where she was to photograph a vehicle. Avery and nephew Brendan Dassey were tried and (spoiler alert) convicted of the crime. But that's not the end of the story. When Columbia graduate students Laura Ricciardi and Moira Demos read about Avery, they felt his story would make an interesting documentary. Neither PBS nor HBO were interested, but Netflix took on their concept to produce the docuseries, which generated plenty of publicity and prompted petitions to have Avery's case reviewed, though officials in Wisconsin insist all the evidence is not presented in the program."
Suzhal - The Vortex,A criminal investigation threatens to shake up the cultural societal fabric.
Hesher,An anarchist (Joseph Gordon-Levitt) shakes things up after moving -- uninvited -- into the garage of a troubled youth (Devin Brochu) and the kid's father (Rainn Wilson).
Brigsby Bear,"The show ""Brigsby Bear Adventures"" is a children's television program produced for an audience of one: James Pope. When the series abruptly ends, Pope's life changes forever as he sets out to finish the storyline himself. To do that, he must learn how to cope with the realities of a new world that he knows nothing about."
"Dragon Ball Z: Resurrection ""F""",Gokû (Masako Nozawa) and Vegeta (Ryo Horikawa) must protect Earth from the resurrected Frieza and his army of soldiers.
Innocent Voices,Civil war in El Salvador threatens the life of an 11-year-old (Carlos Padilla) and his family who live in a small village.
